PairHMM TKF92 with independent site classes over emissions
  - Number of site classes for substitution model: 1
  - Loss function: joint
  - Normalizing losses by: desc_len

2: model init

3: main training loop
New best test loss at epoch 604: 5.514813423156738
New best test loss at epoch 605: 5.514798641204834
New best test loss at epoch 606: 5.5147809982299805
New best test loss at epoch 607: 5.514764308929443
New best test loss at epoch 608: 5.514747142791748
New best test loss at epoch 609: 5.5147318840026855
New best test loss at epoch 610: 5.514715194702148
New best test loss at epoch 611: 5.514697551727295
New best test loss at epoch 612: 5.514682292938232
New best test loss at epoch 613: 5.514667987823486
New best test loss at epoch 614: 5.514650344848633
New best test loss at epoch 615: 5.514634609222412
New best test loss at epoch 616: 5.514619827270508
New best test loss at epoch 617: 5.514604091644287
New best test loss at epoch 618: 5.514588356018066
New best test loss at epoch 619: 5.514572620391846
New best test loss at epoch 620: 5.51455545425415
New best test loss at epoch 621: 5.514540672302246
New best test loss at epoch 622: 5.514526844024658
New best test loss at epoch 623: 5.514511585235596
New best test loss at epoch 624: 5.514496326446533
New best test loss at epoch 625: 5.514480113983154
New best test loss at epoch 626: 5.514465808868408
New best test loss at epoch 627: 5.514451026916504
New best test loss at epoch 628: 5.514435291290283
New best test loss at epoch 629: 5.514420032501221
New best test loss at epoch 630: 5.514405250549316
New best test loss at epoch 631: 5.514391899108887
New best test loss at epoch 632: 5.514378547668457
New best test loss at epoch 633: 5.5143632888793945
New best test loss at epoch 634: 5.514347553253174
New best test loss at epoch 635: 5.514334678649902
New best test loss at epoch 636: 5.514318943023682
New best test loss at epoch 637: 5.5143046379089355
New best test loss at epoch 638: 5.514291286468506
New best test loss at epoch 639: 5.514276027679443
New best test loss at epoch 640: 5.514262676239014
New best test loss at epoch 641: 5.514248847961426
New best test loss at epoch 642: 5.514235973358154
New best test loss at epoch 643: 5.514222621917725
New best test loss at epoch 644: 5.514209270477295
